facility,strain,Fraction Aligned To Target Genome,fastqc,plate,row,column,Fraction of Genome with >=0.75 Median Coverage
SAN,C3H,0.954964422,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJC3H91094.0_SAN01p1.fq_fastqc.txt.gz,2,D,1,0.938461538
SAN,C3H,0.95306823,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN04p1.fq_fastqc.txt.gz,2,D,2,0.946153846
SAN,C3H,0.952140169,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN10p1.fq_fastqc.txt.gz,2,D,3,0.946153846
SAN,C3H,0.952162022,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN07p1.fq_fastqc.txt.gz,2,D,4,0.946153846
SAN,C3H,0.953243879,/data01/repository/do3649/do3649_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91213.0_SAN10p1.fq_fastqc.txt.gz,2,D,5,0.930769231
SAN,C3H,0.953682832,/data01/repository/do3649/do3649_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91213.0_SAN08p1.fq_fastqc.txt.gz,2,D,6,0.926923077
SAN,C3H,0.954599764,/data01/repository/do3649/do3649_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91213.0_SAN05p1.fq_fastqc.txt.gz,2,D,7,0.938461538
SAN,C3H,0.95334525,/data01/repository/do3649/do3649_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91213.0_SAN07p1.fq_fastqc.txt.gz,2,D,8,0.938461538
SAN,C3H,0.954515401,/data01/repository/do3649/do3649_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91213.0_SAN04p1.fq_fastqc.txt.gz,2,D,9,0.942307692
SAN,C3H,0.951903204,/data01/repository/do3649/do3649_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91213.0_SAN06p1.fq_fastqc.txt.gz,2,D,10,0.938461538
